A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_w_m3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3189       0.3264      -0.0075
eff overall (pt>0.9)             0.7959       0.8136      -0.0177
eff vxy [0,1)                    0.8283       0.8473      -0.0191
eff vxy [1,5)                    0.7830       0.7731      +0.0099
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8233       0.8342      -0.0109
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.8967       0.9242      -0.0274
eff transition 1.1-1.7           0.8641       0.8826      -0.0185
eff endcap >1.7                  0.7461       0.7556      -0.0095
dup rate (pt sums)               0.1098       0.0499      +0.0599
dup rate (pt>0.9)                0.1130       0.0513      +0.0617
dup rate barrel                  0.0746       0.0097      +0.0648
dup rate transition              0.1171       0.0130      +0.1040
dup rate endcap                  0.1323       0.0846      +0.0477
fake rate (pt sums)              0.0583       0.0451      +0.0132
fake rate (pt>0.9)               0.0602       0.0455      +0.0147
fake rate barrel                 0.0746       0.0437      +0.0309
fake rate transition             0.0764       0.0459      +0.0305
fake rate endcap                 0.0476       0.0463      +0.0013
mean nhitOT                       6.504        6.514       -0.010
mean nhitOT barrel                9.965       10.151       -0.186
mean nhitOT transition            9.817       10.010       -0.193
mean nhitOT endcap                3.652        3.559       +0.092
n TC (fr denom)                  629613       610581       +19032
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_w_m3.json
