A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_x_a11_n1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3134       0.3264      -0.0130
eff overall (pt>0.9)             0.7868       0.8136      -0.0268
eff vxy [0,1)                    0.8185       0.8473      -0.0288
eff vxy [1,5)                    0.7816       0.7731      +0.0085
eff vxy [5,10)                   0.7224       0.6530      +0.0694
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8144       0.8342      -0.0198
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.8733       0.9242      -0.0508
eff transition 1.1-1.7           0.8531       0.8826      -0.0295
eff endcap >1.7                  0.7511       0.7556      -0.0044
dup rate (pt sums)               0.0524       0.0499      +0.0025
dup rate (pt>0.9)                0.0524       0.0513      +0.0011
dup rate barrel                  0.0130       0.0097      +0.0032
dup rate transition              0.0175       0.0130      +0.0045
dup rate endcap                  0.0819       0.0846      -0.0026
fake rate (pt sums)              0.0481       0.0451      +0.0030
fake rate (pt>0.9)               0.0485       0.0455      +0.0030
fake rate barrel                 0.0590       0.0437      +0.0153
fake rate transition             0.0588       0.0459      +0.0129
fake rate endcap                 0.0403       0.0463      -0.0061
mean nhitOT                       6.489        6.514       -0.025
mean nhitOT barrel               10.360       10.151       +0.210
mean nhitOT transition           10.173       10.010       +0.163
mean nhitOT endcap                3.520        3.559       -0.040
n TC (fr denom)                  588811       610581       -21770
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_x_a11_n1.json
