A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_x_a75_m3o2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3187       0.3264      -0.0077
eff overall (pt>0.9)             0.7959       0.8136      -0.0177
eff vxy [0,1)                    0.8284       0.8473      -0.0189
eff vxy [1,5)                    0.7823       0.7731      +0.0092
eff vxy [5,10)                   0.7240       0.6530      +0.0710
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8234       0.8342      -0.0109
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.8954       0.9242      -0.0288
eff transition 1.1-1.7           0.8663       0.8826      -0.0163
eff endcap >1.7                  0.7465       0.7556      -0.0091
dup rate (pt sums)               0.1079       0.0499      +0.0579
dup rate (pt>0.9)                0.1111       0.0513      +0.0598
dup rate barrel                  0.0679       0.0097      +0.0582
dup rate transition              0.1149       0.0130      +0.1019
dup rate endcap                  0.1327       0.0846      +0.0481
fake rate (pt sums)              0.0502       0.0451      +0.0051
fake rate (pt>0.9)               0.0506       0.0455      +0.0051
fake rate barrel                 0.0586       0.0437      +0.0149
fake rate transition             0.0660       0.0459      +0.0201
fake rate endcap                 0.0419       0.0463      -0.0045
mean nhitOT                       6.500        6.514       -0.013
mean nhitOT barrel               10.049       10.151       -0.101
mean nhitOT transition            9.867       10.010       -0.143
mean nhitOT endcap                3.632        3.559       +0.073
n TC (fr denom)                  622376       610581       +11795
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_x_a75_m3o2.json
