A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_y_a75_n1_pt3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3221       0.3264      -0.0044
eff overall (pt>0.9)             0.8035       0.8136      -0.0101
eff vxy [0,1)                    0.8367       0.8473      -0.0106
eff vxy [1,5)                    0.7767       0.7731      +0.0035
eff vxy [5,10)                   0.7019       0.6530      +0.0489
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8297       0.8342      -0.0045
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9064       0.9242      -0.0178
eff transition 1.1-1.7           0.8746       0.8826      -0.0080
eff endcap >1.7                  0.7511       0.7556      -0.0044
dup rate (pt sums)               0.0474       0.0499      -0.0025
dup rate (pt>0.9)                0.0477       0.0513      -0.0036
dup rate barrel                  0.0118       0.0097      +0.0020
dup rate transition              0.0164       0.0130      +0.0034
dup rate endcap                  0.0759       0.0846      -0.0086
fake rate (pt sums)              0.0473       0.0451      +0.0022
fake rate (pt>0.9)               0.0479       0.0455      +0.0024
fake rate barrel                 0.0539       0.0437      +0.0102
fake rate transition             0.0594       0.0459      +0.0136
fake rate endcap                 0.0413       0.0463      -0.0051
mean nhitOT                       6.441        6.514       -0.073
mean nhitOT barrel               10.005       10.151       -0.145
mean nhitOT transition            9.942       10.010       -0.068
mean nhitOT endcap                3.525        3.559       -0.034
n TC (fr denom)                  607453       610581        -3128
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_y_a75_n1_pt3.json
