A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_z_a6_n1_rpo_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3244       0.3264      -0.0021
eff overall (pt>0.9)             0.8074       0.8136      -0.0061
eff vxy [0,1)                    0.8405       0.8473      -0.0068
eff vxy [1,5)                    0.7915       0.7731      +0.0184
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8348       0.8342      +0.0006
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9134       0.9242      -0.0108
eff transition 1.1-1.7           0.8761       0.8826      -0.0065
eff endcap >1.7                  0.7536       0.7556      -0.0020
dup rate (pt sums)               0.0588       0.0499      +0.0088
dup rate (pt>0.9)                0.0573       0.0513      +0.0060
dup rate barrel                  0.0132       0.0097      +0.0034
dup rate transition              0.0194       0.0130      +0.0064
dup rate endcap                  0.0921       0.0846      +0.0075
fake rate (pt sums)              0.0571       0.0451      +0.0120
fake rate (pt>0.9)               0.0582       0.0455      +0.0128
fake rate barrel                 0.0666       0.0437      +0.0229
fake rate transition             0.0829       0.0459      +0.0370
fake rate endcap                 0.0465       0.0463      +0.0001
mean nhitOT                       6.471        6.514       -0.043
mean nhitOT barrel               10.021       10.151       -0.129
mean nhitOT transition            9.921       10.010       -0.089
mean nhitOT endcap                3.548        3.559       -0.011
n TC (fr denom)                  622542       610581       +11961
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/gen_c_ref/t_z_a6_n1_rpo.json
