A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/p24b_ref/bd_r60c0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3241       0.3264      -0.0023
eff overall (pt>0.9)             0.8078       0.8136      -0.0057
eff vxy [0,1)                    0.8409       0.8473      -0.0064
eff vxy [1,5)                    0.7922       0.7731      +0.0191
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8352       0.8342      +0.0010
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9134       0.9242      -0.0108
eff transition 1.1-1.7           0.8786       0.8826      -0.0040
eff endcap >1.7                  0.7536       0.7556      -0.0020
dup rate (pt sums)               0.0590       0.0499      +0.0091
dup rate (pt>0.9)                0.0601       0.0513      +0.0088
dup rate barrel                  0.0176       0.0097      +0.0079
dup rate transition              0.0295       0.0130      +0.0164
dup rate endcap                  0.0920       0.0846      +0.0075
fake rate (pt sums)              0.0570       0.0451      +0.0119
fake rate (pt>0.9)               0.0590       0.0455      +0.0135
fake rate barrel                 0.0732       0.0437      +0.0295
fake rate transition             0.0749       0.0459      +0.0290
fake rate endcap                 0.0467       0.0463      +0.0004
mean nhitOT                       6.484        6.514       -0.029
mean nhitOT barrel                9.981       10.151       -0.169
mean nhitOT transition            9.940       10.010       -0.070
mean nhitOT endcap                3.576        3.559       +0.017
n TC (fr denom)                  620867       610581       +10286
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/p24b_ref/bd_r60c0.json
