A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_NOOPNEW_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3310       0.3264      +0.0046
eff overall (pt>0.9)             0.7986       0.8136      -0.0150
eff vxy [0,1)                    0.8291       0.8473      -0.0182
eff vxy [1,5)                    0.7919       0.7731      +0.0188
eff vxy [5,10)                   0.7612       0.6530      +0.1082
eff vxy [10,30)                  0.6692       0.6291      +0.0401
eff dxy [0,1)                    0.8284       0.8342      -0.0058
eff dxy [1,5)                    0.4206       0.4989      -0.0784
eff dxy [5,10)                   0.2308       0.2281      +0.0027
eff dxy [10,30)                  0.0303       0.0470      -0.0167
eff barrel |eta|<1.1             0.9152       0.9242      -0.0089
eff transition 1.1-1.7           0.8744       0.8826      -0.0082
eff endcap >1.7                  0.7165       0.7556      -0.0391
dup rate (pt sums)               0.0531       0.0499      +0.0032
dup rate (pt>0.9)                0.0532       0.0513      +0.0019
dup rate barrel                  0.0147       0.0097      +0.0049
dup rate transition              0.0173       0.0130      +0.0042
dup rate endcap                  0.0852       0.0846      +0.0006
fake rate (pt sums)              0.0370       0.0451      -0.0081
fake rate (pt>0.9)               0.0379       0.0455      -0.0076
fake rate barrel                 0.0400       0.0437      -0.0038
fake rate transition             0.0437       0.0459      -0.0021
fake rate endcap                 0.0350       0.0463      -0.0114
mean nhitOT                       6.454        6.514       -0.060
mean nhitOT barrel                9.885       10.151       -0.265
mean nhitOT transition            9.898       10.010       -0.112
mean nhitOT endcap                3.528        3.559       -0.032
n TC (fr denom)                   53717       610581      -556864
n sim (ef denom)                   6459        63603       -57144
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_NOOPNEW.json
