A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_a10_n2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3095       0.3264      -0.0169
eff overall (pt>0.9)             0.7767       0.8136      -0.0369
eff vxy [0,1)                    0.8081       0.8473      -0.0393
eff vxy [1,5)                    0.7724       0.7731      -0.0007
eff vxy [5,10)                   0.7224       0.6530      +0.0694
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8046       0.8342      -0.0297
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.8559       0.9242      -0.0683
eff transition 1.1-1.7           0.8431       0.8826      -0.0395
eff endcap >1.7                  0.7472       0.7556      -0.0083
dup rate (pt sums)               0.0569       0.0499      +0.0070
dup rate (pt>0.9)                0.0582       0.0513      +0.0069
dup rate barrel                  0.0133       0.0097      +0.0035
dup rate transition              0.0214       0.0130      +0.0084
dup rate endcap                  0.0902       0.0846      +0.0057
fake rate (pt sums)              0.0484       0.0451      +0.0033
fake rate (pt>0.9)               0.0489       0.0455      +0.0034
fake rate barrel                 0.0604       0.0437      +0.0167
fake rate transition             0.0596       0.0459      +0.0137
fake rate endcap                 0.0403       0.0463      -0.0061
mean nhitOT                       6.483        6.514       -0.031
mean nhitOT barrel               10.468       10.151       +0.318
mean nhitOT transition           10.226       10.010       +0.216
mean nhitOT endcap                3.504        3.559       -0.055
n TC (fr denom)                  583138       610581       -27443
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_a10_n2.json
