A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_d_n1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3228       0.3264      -0.0037
eff overall (pt>0.9)             0.8046       0.8136      -0.0090
eff vxy [0,1)                    0.8374       0.8473      -0.0099
eff vxy [1,5)                    0.7901       0.7731      +0.0170
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8319       0.8342      -0.0023
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9103       0.9242      -0.0138
eff transition 1.1-1.7           0.8731       0.8826      -0.0095
eff endcap >1.7                  0.7507       0.7556      -0.0049
dup rate (pt sums)               0.0466       0.0499      -0.0033
dup rate (pt>0.9)                0.0468       0.0513      -0.0045
dup rate barrel                  0.0111       0.0097      +0.0014
dup rate transition              0.0165       0.0130      +0.0035
dup rate endcap                  0.0750       0.0846      -0.0095
fake rate (pt sums)              0.0548       0.0451      +0.0097
fake rate (pt>0.9)               0.0565       0.0455      +0.0110
fake rate barrel                 0.0696       0.0437      +0.0259
fake rate transition             0.0698       0.0459      +0.0239
fake rate endcap                 0.0455       0.0463      -0.0009
mean nhitOT                       6.520        6.514       +0.006
mean nhitOT barrel               10.047       10.151       -0.103
mean nhitOT transition           10.024       10.010       +0.014
mean nhitOT endcap                3.581        3.559       +0.022
n TC (fr denom)                  613420       610581        +2839
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_d_n1.json
