A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_d_nopre_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3265       0.3264      +0.0000
eff overall (pt>0.9)             0.8139       0.8136      +0.0004
eff vxy [0,1)                    0.8471       0.8473      -0.0002
eff vxy [1,5)                    0.8000       0.7731      +0.0269
eff vxy [5,10)                   0.7303       0.6530      +0.0773
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8413       0.8342      +0.0071
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9226       0.9242      -0.0016
eff transition 1.1-1.7           0.8896       0.8826      +0.0070
eff endcap >1.7                  0.7549       0.7556      -0.0007
dup rate (pt sums)               0.2659       0.0499      +0.2160
dup rate (pt>0.9)                0.2789       0.0513      +0.2276
dup rate barrel                  0.2900       0.0097      +0.2803
dup rate transition              0.3611       0.0130      +0.3481
dup rate endcap                  0.2448       0.0846      +0.1602
fake rate (pt sums)              0.0634       0.0451      +0.0183
fake rate (pt>0.9)               0.0660       0.0455      +0.0205
fake rate barrel                 0.0814       0.0437      +0.0377
fake rate transition             0.0811       0.0459      +0.0352
fake rate endcap                 0.0519       0.0463      +0.0056
mean nhitOT                       6.444        6.514       -0.070
mean nhitOT barrel                9.333       10.151       -0.818
mean nhitOT transition            9.169       10.010       -0.840
mean nhitOT endcap                3.833        3.559       +0.274
n TC (fr denom)                  709505       610581       +98924
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_d_nopre.json
