A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_r_hitn3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3239       0.3264      -0.0026
eff overall (pt>0.9)             0.8072       0.8136      -0.0064
eff vxy [0,1)                    0.8403       0.8473      -0.0070
eff vxy [1,5)                    0.7922       0.7731      +0.0191
eff vxy [5,10)                   0.7256       0.6530      +0.0726
eff vxy [10,30)                  0.7181       0.6291      +0.0891
eff dxy [0,1)                    0.8346       0.8342      +0.0004
eff dxy [1,5)                    0.5590       0.4989      +0.0601
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9145       0.9242      -0.0097
eff transition 1.1-1.7           0.8758       0.8826      -0.0068
eff endcap >1.7                  0.7520       0.7556      -0.0036
dup rate (pt sums)               0.0618       0.0499      +0.0119
dup rate (pt>0.9)                0.0629       0.0513      +0.0116
dup rate barrel                  0.0230       0.0097      +0.0132
dup rate transition              0.0382       0.0130      +0.0251
dup rate endcap                  0.0921       0.0846      +0.0075
fake rate (pt sums)              0.0605       0.0451      +0.0154
fake rate (pt>0.9)               0.0629       0.0455      +0.0174
fake rate barrel                 0.0791       0.0437      +0.0354
fake rate transition             0.0791       0.0459      +0.0333
fake rate endcap                 0.0493       0.0463      +0.0029
mean nhitOT                       6.510        6.514       -0.003
mean nhitOT barrel                9.964       10.151       -0.186
mean nhitOT transition            9.924       10.010       -0.085
mean nhitOT endcap                3.615        3.559       +0.056
n TC (fr denom)                  623567       610581       +12986
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/t3attach_ref/t_r_hitn3.json
