loaded 300 events from /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fin_ref/r_FINBASE.root
tag                     eff      v01      v15     v510    v1030      d15     d510    d1030    duppt   fakept      dup     fake nhbarrelnhtransition nhendcap      nTC
BASELINE            0.80992  0.84282  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.06152  0.05389  0.06230  0.05551  9.80254  9.87906  3.55956   618793
PERFECT_pT3         0.80992  0.84282  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.06209  0.04520  0.06294  0.04584  9.85978  9.93561  3.54414   613160
DROP_pT3_ALL        0.77224  0.80288  0.77193  0.73019  0.74139  0.61650  0.20161  0.03073  0.06395  0.04793  0.06420  0.04819 10.28375 10.16493  3.49609   578170
DROP_T4_BARREL      0.80992  0.84282  0.79167  0.72681  0.71898  0.57748  0.16129  0.01418  0.06141  0.05043  0.06227  0.05158  9.84148  9.87906  3.55956   615175
DROP_T4_ALL         0.80754  0.84035  0.78436  0.71332  0.71337  0.56856  0.16129  0.01418  0.05535  0.04986  0.05647  0.05096  9.84148  9.89863  3.49057   608532
DROP_T4_EXEMPT      0.80953  0.84244  0.78728  0.71838  0.71337  0.56856  0.16129  0.01418  0.05933  0.04964  0.06049  0.05074  9.84126  9.88674  3.52494   611733
PERFECT_T4          0.80992  0.84282  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.06182  0.04927  0.06264  0.05040  9.82864  9.88261  3.55283   615787
PERFECT_BARE5       0.80992  0.84282  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.06266  0.03645  0.06350  0.03732  9.78271  9.85621  3.53129   607596
PERFECT_ZP8_DUP     0.80988  0.84277  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.04451  0.05436  0.04489  0.05602  9.97135  9.97690  3.57546   613387

tag                    effB     effT     effE     fakB     fakT     fakE   nh_all
BASELINE            0.92660  0.88213  0.74496  0.06680  0.06903  0.04525   6.4412
PERFECT_pT3         0.92660  0.88213  0.74496  0.05276  0.05545  0.03922   6.4457
DROP_pT3_ALL        0.85979  0.84674  0.73089  0.05855  0.05868  0.03998   6.4685
DROP_T4_BARREL      0.92660  0.88213  0.74496  0.05367  0.06903  0.04525   6.4313
DROP_T4_ALL         0.92660  0.87780  0.74086  0.05367  0.06784  0.04442   6.4154
DROP_T4_EXEMPT      0.92660  0.88187  0.74407  0.05366  0.06749  0.04414   6.4237
PERFECT_T4          0.92660  0.88213  0.74496  0.05329  0.06727  0.04380   6.4327
PERFECT_BARE5       0.92660  0.88213  0.74496  0.03455  0.02815  0.04144   6.3646
PERFECT_ZP8_DUP     0.92660  0.88213  0.74485  0.06795  0.06971  0.04545   6.4999

delta vs BASE          d_eff     d_dup    d_fake     d_v15    d_v510   d_v1030     d_d15
PERFECT_pT3         +0.00000  +0.00064  -0.00967  +0.00000  +0.00000  +0.00000  +0.00000
DROP_pT3_ALL        -0.03769  +0.00190  -0.00733  -0.02266  -0.00337  +0.00000  +0.00000
DROP_T4_BARREL      +0.00000  -0.00003  -0.00393  -0.00292  -0.00675  -0.02242  -0.03902
DROP_T4_ALL         -0.00239  -0.00583  -0.00455  -0.01023  -0.02024  -0.02802  -0.04794
DROP_T4_EXEMPT      -0.00040  -0.00181  -0.00477  -0.00731  -0.01518  -0.02802  -0.04794
PERFECT_T4          +0.00000  +0.00034  -0.00511  +0.00000  +0.00000  +0.00000  +0.00000
PERFECT_BARE5       +0.00000  +0.00120  -0.01819  +0.00000  +0.00000  +0.00000  +0.00000
PERFECT_ZP8_DUP     -0.00004  -0.01741  +0.00051  +0.00000  +0.00000  +0.00000  +0.00000
