metric                           LST300      BASE300        myA05        myA10        myA15
-------------------------------------------------------------------------------------------
eff overall (pt sums)           0.32811      0.32782      0.32810      0.32798      0.32773
eff overall (pt>0.9)            0.80988      0.80992      0.81050      0.81045      0.80979
eff vxy [0,1)                   0.84296      0.84282      0.84339      0.84334      0.84268
eff vxy [1,5)                   0.77193      0.79459      0.79532      0.79459      0.79459
eff vxy [5,10)                  0.65430      0.73356      0.73356      0.73187      0.73356
eff vxy [10,30)                 0.66453      0.74139      0.74139      0.73579      0.74139
eff dxy [0,1)                   0.83072      0.83727      0.83783      0.83744      0.83715
eff dxy [1,5)                   0.55407      0.61650      0.61650      0.61204      0.61650
eff dxy [5,10)                  0.20968      0.20161      0.20161      0.20161      0.20161
eff dxy [10,30)                 0.05674      0.03073      0.03073      0.03073      0.03073
eff barrel |eta|<1.1            0.92557      0.92660      0.92682      0.92762      0.92660
eff transition 1.1-1.7          0.88187      0.88213      0.88315      0.88315      0.88136
eff endcap >1.7                 0.74596      0.74496      0.74573      0.74485      0.74496
dup rate (pt sums)              0.05032      0.06152      0.06210      0.05549      0.05555
dup rate (pt>0.9)               0.05179      0.06230      0.06297      0.05582      0.05668
dup rate barrel                 0.00989      0.04344      0.04456      0.02870      0.04286
dup rate transition             0.01264      0.03431      0.03455      0.03186      0.02921
dup rate endcap                 0.08556      0.08106      0.08146      0.07807      0.07256
fake rate (pt sums)             0.04471      0.05389      0.04827      0.05307      0.05401
fake rate (pt>0.9)              0.04476      0.05551      0.04894      0.05457      0.05562
fake rate barrel                0.04249      0.06680      0.05480      0.06542      0.06682
fake rate transition            0.04454      0.06903      0.06023      0.06589      0.06916
fake rate endcap                0.04603      0.04525      0.04239      0.04514      0.04536
mean nhitOT                     6.51865      6.44117      6.43196      6.47232      6.46340
mean nhitOT barrel             10.14804      9.80254      9.82299      9.89433      9.80890
mean nhitOT transition         10.01546      9.87906      9.90481      9.88739      9.90786
mean nhitOT endcap              3.56248      3.55956      3.54724      3.54559      3.57795
n TC (fr denom)                  608190       618793       615718       615551       616531
n sim (ef denom)                  62555        62555        62555        62555        62555
