metric                           LST977      A05_977      A10_977      A15_977      BASE977
-------------------------------------------------------------------------------------------
eff overall (pt sums)           0.32775      0.32752      0.32729      0.32709      0.32719
eff overall (pt>0.9)            0.80987      0.80987      0.80932      0.80884      0.80905
eff vxy [0,1)                   0.84285      0.84230      0.84176      0.84122      0.84144
eff vxy [1,5)                   0.77719      0.80154      0.79978      0.80110      0.80110
eff vxy [5,10)                  0.64422      0.72111      0.71910      0.72161      0.72161
eff vxy [10,30)                 0.62567      0.71474      0.70791      0.71474      0.71474
eff dxy [0,1)                   0.82956      0.83596      0.83508      0.83499      0.83518
eff dxy [1,5)                   0.51042      0.58320      0.57923      0.58320      0.58320
eff dxy [5,10)                  0.22906      0.24521      0.24521      0.24521      0.24521
eff dxy [10,30)                 0.05402      0.03151      0.03151      0.03151      0.03151
eff barrel |eta|<1.1            0.92430      0.92539      0.92553      0.92430      0.92454
eff transition 1.1-1.7          0.88004      0.88103      0.88034      0.87943      0.87981
eff endcap >1.7                 0.74658      0.74508      0.74385      0.74426      0.74436
dup rate (pt sums)              0.04986      0.06154      0.05486      0.05506      0.06094
dup rate (pt>0.9)               0.05138      0.06252      0.05524      0.05629      0.06184
dup rate barrel                 0.00971      0.04393      0.02822      0.04231      0.04294
dup rate transition             0.01308      0.03413      0.03112      0.02856      0.03375
dup rate endcap                 0.08486      0.08112      0.07752      0.07235      0.08069
fake rate (pt sums)             0.04517      0.04881      0.05364      0.05467      0.05456
fake rate (pt>0.9)              0.04538      0.04940      0.05507      0.05618      0.05607
fake rate barrel                0.04365      0.05542      0.06596      0.06757      0.06754
fake rate transition            0.04542      0.06032      0.06617      0.06948      0.06932
fake rate endcap                0.04630      0.04287      0.04567      0.04587      0.04578
mean nhitOT                     6.51862      6.43348      6.47317      6.46420      6.44243
mean nhitOT barrel             10.14984      9.82275      9.89241      9.80687      9.80064
mean nhitOT transition         10.00937      9.90927      9.89455      9.91260      9.88373
mean nhitOT endcap              3.55665      3.54483      3.54390      3.57512      3.55719
n TC (fr denom)                 1998494      2023552      2023011      2026593      2033868
n sim (ef denom)                 204388       204388       204388       204388       204388
