A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_B_m1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3107       0.3281      -0.0174
eff overall (pt>0.9)             0.7705       0.8099      -0.0394
eff vxy [0,1)                    0.8020       0.8430      -0.0410
eff vxy [1,5)                    0.7529       0.7719      -0.0190
eff vxy [5,10)                   0.7251       0.6543      +0.0708
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.7981       0.8307      -0.0326
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.8670       0.9256      -0.0586
eff transition 1.1-1.7           0.8256       0.8819      -0.0563
eff endcap >1.7                  0.7288       0.7460      -0.0172
dup rate (pt sums)               0.0559       0.0503      +0.0055
dup rate (pt>0.9)                0.0558       0.0518      +0.0040
dup rate barrel                  0.0229       0.0099      +0.0130
dup rate transition              0.0151       0.0126      +0.0025
dup rate endcap                  0.0840       0.0856      -0.0016
fake rate (pt sums)              0.0465       0.0447      +0.0018
fake rate (pt>0.9)               0.0469       0.0448      +0.0021
fake rate barrel                 0.0566       0.0425      +0.0141
fake rate transition             0.0585       0.0445      +0.0139
fake rate endcap                 0.0387       0.0460      -0.0074
mean nhitOT                       6.404        6.519       -0.115
mean nhitOT barrel               10.004       10.148       -0.144
mean nhitOT transition           10.313       10.015       +0.297
mean nhitOT endcap                3.468        3.562       -0.094
n TC (fr denom)                  585304       608190       -22886
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_B_m1.json
