A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_B_p0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3144       0.3281      -0.0137
eff overall (pt>0.9)             0.7793       0.8099      -0.0305
eff vxy [0,1)                    0.8111       0.8430      -0.0319
eff vxy [1,5)                    0.7617       0.7719      -0.0102
eff vxy [5,10)                   0.7251       0.6543      +0.0708
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8068       0.8307      -0.0239
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.8782       0.9256      -0.0473
eff transition 1.1-1.7           0.8368       0.8819      -0.0451
eff endcap >1.7                  0.7351       0.7460      -0.0109
dup rate (pt sums)               0.0566       0.0503      +0.0063
dup rate (pt>0.9)                0.0566       0.0518      +0.0048
dup rate barrel                  0.0243       0.0099      +0.0144
dup rate transition              0.0160       0.0126      +0.0034
dup rate endcap                  0.0847       0.0856      -0.0008
fake rate (pt sums)              0.0467       0.0447      +0.0020
fake rate (pt>0.9)               0.0471       0.0448      +0.0024
fake rate barrel                 0.0562       0.0425      +0.0137
fake rate transition             0.0585       0.0445      +0.0140
fake rate endcap                 0.0393       0.0460      -0.0067
mean nhitOT                       6.349        6.519       -0.169
mean nhitOT barrel                9.870       10.148       -0.278
mean nhitOT transition           10.194       10.015       +0.179
mean nhitOT endcap                3.450        3.562       -0.112
n TC (fr denom)                  591239       608190       -16951
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_B_p0.json
