A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_C_m4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3031       0.3281      -0.0250
eff overall (pt>0.9)             0.7545       0.8099      -0.0554
eff vxy [0,1)                    0.7850       0.8430      -0.0580
eff vxy [1,5)                    0.7463       0.7719      -0.0256
eff vxy [5,10)                   0.7251       0.6543      +0.0708
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.7825       0.8307      -0.0482
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.8420       0.9256      -0.0835
eff transition 1.1-1.7           0.8106       0.8819      -0.0713
eff endcap >1.7                  0.7194       0.7460      -0.0266
dup rate (pt sums)               0.0657       0.0503      +0.0153
dup rate (pt>0.9)                0.0672       0.0518      +0.0154
dup rate barrel                  0.0169       0.0099      +0.0070
dup rate transition              0.0184       0.0126      +0.0058
dup rate endcap                  0.1053       0.0856      +0.0197
fake rate (pt sums)              0.0466       0.0447      +0.0019
fake rate (pt>0.9)               0.0468       0.0448      +0.0021
fake rate barrel                 0.0585       0.0425      +0.0160
fake rate transition             0.0581       0.0445      +0.0136
fake rate endcap                 0.0380       0.0460      -0.0080
mean nhitOT                       6.486        6.519       -0.033
mean nhitOT barrel               10.399       10.148       +0.251
mean nhitOT transition           10.498       10.015       +0.483
mean nhitOT endcap                3.462        3.562       -0.101
n TC (fr denom)                  574572       608190       -33618
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_C_m4.json
