A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_E_c_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3230       0.3281      -0.0051
eff overall (pt>0.9)             0.7998       0.8099      -0.0101
eff vxy [0,1)                    0.8321       0.8430      -0.0108
eff vxy [1,5)                    0.7858       0.7719      +0.0139
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8272       0.8307      -0.0036
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9035       0.9256      -0.0221
eff transition 1.1-1.7           0.8646       0.8819      -0.0173
eff endcap >1.7                  0.7496       0.7460      +0.0037
dup rate (pt sums)               0.0711       0.0503      +0.0208
dup rate (pt>0.9)                0.0724       0.0518      +0.0206
dup rate barrel                  0.0368       0.0099      +0.0270
dup rate transition              0.0286       0.0126      +0.0160
dup rate endcap                  0.1032       0.0856      +0.0176
fake rate (pt sums)              0.0468       0.0447      +0.0021
fake rate (pt>0.9)               0.0472       0.0448      +0.0025
fake rate barrel                 0.0552       0.0425      +0.0127
fake rate transition             0.0578       0.0445      +0.0133
fake rate endcap                 0.0401       0.0460      -0.0059
mean nhitOT                       6.200        6.519       -0.319
mean nhitOT barrel                9.613       10.148       -0.535
mean nhitOT transition            9.925       10.015       -0.090
mean nhitOT endcap                3.376        3.562       -0.186
n TC (fr denom)                  606510       608190        -1680
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_E_c.json
