A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_REP_p4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3236       0.3281      -0.0045
eff overall (pt>0.9)             0.8014       0.8099      -0.0085
eff vxy [0,1)                    0.8337       0.8430      -0.0092
eff vxy [1,5)                    0.7873       0.7719      +0.0154
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8287       0.8307      -0.0020
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9076       0.9256      -0.0180
eff transition 1.1-1.7           0.8676       0.8819      -0.0143
eff endcap >1.7                  0.7483       0.7460      +0.0023
dup rate (pt sums)               0.0705       0.0503      +0.0202
dup rate (pt>0.9)                0.0715       0.0518      +0.0197
dup rate barrel                  0.0461       0.0099      +0.0362
dup rate transition              0.0393       0.0126      +0.0267
dup rate endcap                  0.0941       0.0856      +0.0085
fake rate (pt sums)              0.0467       0.0447      +0.0020
fake rate (pt>0.9)               0.0472       0.0448      +0.0024
fake rate barrel                 0.0548       0.0425      +0.0124
fake rate transition             0.0575       0.0445      +0.0129
fake rate endcap                 0.0402       0.0460      -0.0059
mean nhitOT                       6.198        6.519       -0.321
mean nhitOT barrel                9.539       10.148       -0.609
mean nhitOT transition            9.843       10.015       -0.173
mean nhitOT endcap                3.396        3.562       -0.167
n TC (fr denom)                  606776       608190        -1414
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/xc_ref/r_REP_p4.json
