csv,label,evt,nT3,nMD,nMDused,nLS,E1,E2,maxDegIn,maxDegOut,keep8,keep16,keep32,keep64,keep128,keep256,keep512,keep1024,keep2048
csv,JET,0,154378,991,980,12008,44542034,2517160,1280,1456,13339,48805,171946,608150,2145851,7464939,23013476,41923920,44542034
csv,JET,1,41251,1007,1000,6856,3361487,282112,394,403,8687,31572,113815,400266,1304079,2729853,3361487,3361487,3361487
csv,JET,2,63298,665,658,7438,8087622,594263,723,520,9011,33355,125585,467201,1545900,4136884,7311497,8087622,8087622
csv,JET,3,97977,909,898,8943,17512720,1194054,799,923,8601,32939,125806,480885,1812433,6092698,13814156,17512720,17512720
csv,JET,4,78490,919,901,8570,12184756,763702,812,740,9082,34305,130547,491185,1771828,5481042,11089887,12184756,12184756
csv,JET,5,111749,1025,1013,11739,14400056,1107753,1248,1370,12588,47532,178611,663575,2186962,5191131,10659458,13799797,14400056
csv,JET,6,15099,563,550,3416,681982,87552,198,439,4917,16883,59130,187194,487718,647944,681982,681982,681982
csv,JET,7,9002,552,544,2199,334360,45075,180,164,4529,15985,55828,154447,306533,334360,334360,334360,334360
csv,JET,8,42848,966,951,6830,4104853,286289,504,466,9087,32482,119575,430565,1407304,3273982,4104853,4104853,4104853
csv,PU200,0,35420,20584,18835,33010,49236,25361,63,105,30965,39049,43690,49058,49236,49236,49236,49236,49236
csv,PU200,1,37151,20510,18728,34932,58364,27859,76,138,31479,43537,52960,57184,58334,58364,58364,58364,58364
csv,PU200,2,38604,21147,19354,36532,59906,28383,91,291,34349,45695,52937,56727,58765,59661,59906,59906,59906
csv,PU200,3,44751,23175,21236,40786,71211,35239,140,263,43349,59697,67360,70070,70536,71176,71211,71211,71211
csv,PU200,4,25288,16098,14669,24343,32068,18022,48,94,22893,28675,30779,31740,32068,32068,32068,32068,32068
csv,PU200,5,42741,23242,21071,40521,60744,30778,125,137,37830,50204,56430,59200,60699,60744,60744,60744,60744
csv,PU200,6,36915,19324,17667,33429,57090,28380,146,112,34702,46102,53506,56657,57090,57090,57090,57090,57090
csv,PU200,7,49804,25817,23670,46069,67729,33850,77,166,45662,58885,65001,66556,67359,67729,67729,67729,67729
csv,PU200,8,52410,25871,23588,47956,86769,37971,93,178,52654,71986,82048,85561,86715,86769,86769,86769,86769
